step,epoch,status,loss,loss_pred,loss_sigreg,z_std,z_mean_abs,lr,nan_rate,recoveries,wallclock_s,val_L_pred,val_L_identity,val_pred_vs_identity_ratio
100,0,ok,0.9309092164039612,0.28323662281036377,7.196361541748047,0.6607728600502014,0.03802710399031639,4.99214134820286e-05,0.0,0,1437.1086242198944,,,
200,0,ok,0.6590792536735535,0.18676410615444183,5.247945785522461,0.7820971012115479,0.018764259293675423,4.9552628754232465e-05,0.0,0,1950.130244255066,,,
288,0,val_epoch,,,,,,,,,2507.0995070934296,54.76330963506931,0.06642903872561164,824.3881092615508
300,1,ok,0.44206005334854126,0.08048609644174576,4.017488479614258,0.8797593116760254,0.024557916447520256,4.888622580638186e-05,0.0,0,2574.672660112381,,,
400,1,ok,0.38368600606918335,0.0491858571767807,3.716668128967285,0.9052332043647766,0.027922475710511208,4.793028253763633e-05,0.0,0,3093.4780039787292,,,
500,1,ok,0.3405684232711792,0.03268567845225334,3.420919418334961,0.9682909846305847,0.021079761907458305,4.669638655179035e-05,0.0,0,3616.7767412662506,,,
576,1,val_epoch,,,,,,,,,8401.413264274597,0.5079617807341785,0.010996479937216131,46.1931257670056
600,2,ok,0.32618850469589233,0.023308154195547104,3.3653368949890137,1.0119296312332153,0.020529842004179955,4.5199494696467694e-05,0.0,0,8550.948107004166,,,
700,2,ok,0.2987876534461975,0.023348143324255943,3.060438632965088,1.0331392288208008,0.02184463106095791,4.345775176154215e-05,0.0,0,9109.418491125107,,,
800,2,ok,0.2923036515712738,0.022206230089068413,3.001082420349121,1.0180013179779053,0.02025510184466839,4.149227053445797e-05,0.0,0,9639.502442121506,,,
864,2,val_epoch,,,,,,,,,10084.079553127289,0.029644609778756048,0.007174460427642504,4.131963661620911
900,3,ok,0.2873988747596741,0.018451247364282608,2.988306760787964,1.0217301845550537,0.01967412792146206,3.932687587854079e-05,0.0,0,10275.977257966995,,,
1000,3,ok,0.29656660556793213,0.015592578798532486,3.1219334602355957,1.0339332818984985,0.022475222125649452,3.698781593649094e-05,0.0,0,10803.652279138565,,,
1100,3,ok,0.2543434798717499,0.014716994017362595,2.6625163555145264,1.0278211832046509,0.02157302387058735,3.450344395974732e-05,0.0,0,11300.908580064774,,,
1152,3,val_epoch,,,,,,,,,11682.015655994415,0.016736075594657805,0.0043353104397154795,3.8604099584979594
1200,4,ok,0.25956687331199646,0.014045675285160542,2.728013277053833,1.0358363389968872,0.021002747118473053,3.1903874620472796e-05,0.0,0,11940.865146160126,,,
1300,4,ok,0.26821592450141907,0.01313936710357666,2.834183692932129,1.0332876443862915,0.02140655927360058,2.922061897222535e-05,0.0,0,12463.457955121994,,,
1400,4,ok,0.2568507790565491,0.011781765148043633,2.722989082336426,1.0544661283493042,0.02102554589509964,2.6486202484191032e-05,0.0,0,12987.398729085922,,,
1440,4,val_epoch,,,,,,,,,13296.908730268478,0.012534134712797112,0.003666758766062785,3.4183145149348757
1500,5,ok,0.2736802101135254,0.013813894242048264,2.8874034881591797,1.031955599784851,0.020223429426550865,2.3733770779032184e-05,0.0,0,13621.208561182022,,,
1600,5,ok,0.26806196570396423,0.013676037080585957,2.826509952545166,1.0330404043197632,0.02083984576165676,2.0996687853456072e-05,0.0,0,14138.386828184128,,,
1700,5,ok,0.25340747833251953,0.011987143196165562,2.682447910308838,1.0343689918518066,0.02188868261873722,1.830813165173112e-05,0.0,0,14664.63545012474,,,
1728,5,val_epoch,,,,,,,,,14911.646971225739,0.012807385605737203,0.003546125328384067,3.6116562218553616
1800,6,ok,0.254716157913208,0.011841533705592155,2.6986067295074463,1.041054368019104,0.020649075508117676,1.5700691894464586e-05,0.0,0,15280.018852233887,,,
1900,6,ok,0.24851691722869873,0.01712627150118351,2.571007013320923,1.039131999015808,0.02207268960773945,1.320597503761784e-05,0.0,0,15787.464141130447,,,
2000,6,ok,0.2571757733821869,0.013343880884349346,2.7092432975769043,1.0404616594314575,0.018811672925949097,1.0854221150305557e-05,0.0,0,16304.66980934143,,,
2016,6,val_epoch,,,,,,,,,16495.682071208954,0.012276585013946382,0.0032477649322586,3.780010336341938
2100,7,ok,0.25875189900398254,0.012247947975993156,2.7389326095581055,1.04129159450531,0.020595595240592957,8.673937355449436e-06,0.0,0,16939.184267044067,,,
2200,7,ok,0.2571066617965698,0.013689020648598671,2.7046403884887695,1.0318512916564941,0.02281070314347744,6.6915522765885e-06,0.0,0,17483.207797050476,,,
2300,7,ok,0.258755087852478,0.01611544005572796,2.695996046066284,1.0334444046020508,0.01878993771970272,4.931095679518441e-06,0.0,0,18016.064949035645,,,
2304,7,val_epoch,,,,,,,,,18144.174129247665,0.011371901833066127,0.003202373186785092,3.5510857635185675
2400,8,ok,0.26467761397361755,0.01255801972001791,2.8013288974761963,1.0405210256576538,0.023621300235390663,3.413907192030155e-06,0.0,0,18644.638298273087,,,
2500,8,ok,0.26935499906539917,0.014276083558797836,2.834210157394409,1.04135000705719,0.022360285744071007,2.158377632542857e-06,0.0,0,19458.547916173935,,,
2592,8,val_epoch,,,,,,,,,20047.70187330246,0.010539131150921671,0.0029315837497379993,3.5950298714350466
2600,9,ok,0.24884042143821716,0.01308615691959858,2.6194918155670166,1.0402565002441406,0.021230673417448997,1.1797260831540535e-06,0.0,0,20091.44193315506,,,
2700,9,ok,0.25460779666900635,0.01279356237500906,2.6868245601654053,1.0373728275299072,0.020783791318535805,4.898154093474355e-07,0.0,0,20634.484481096268,,,
2800,9,ok,0.2574300467967987,0.011950787156820297,2.7275471687316895,1.0396820306777954,0.022691981866955757,9.700846256308626e-08,0.0,0,21167.649102211,,,
2880,9,val_epoch,,,,,,,,,21685.483790159225,0.010511489600488325,0.0029166982614253533,3.603900252387264
