step,epoch,status,loss,loss_pred,loss_sigreg,z_std,z_mean_abs,lr,nan_rate,recoveries,wallclock_s
50,0,ok,1.2992100715637207,0.6516635417938232,7.194962024688721,0.7847701907157898,0.008323629386723042,4.981772185245135e-05,0.0,0,185.33955812454224
100,0,ok,1.1889169216156006,0.6554672718048096,5.927218437194824,0.8100888729095459,0.00779700418934226,4.9081770026187914e-05,0.0,0,339.26420402526855
150,1,ok,0.9113383889198303,0.44150570034980774,5.220363140106201,0.8649239540100098,0.01018663588911295,4.7797496149802256e-05,0.0,0,476.6955120563507
200,1,ok,0.7232491970062256,0.3127225339412689,4.561407089233398,0.8770496249198914,0.010996167548000813,4.599414208068495e-05,0.0,0,625.5881390571594
250,2,ok,0.706890344619751,0.29932695627212524,4.528481483459473,0.8838936686515808,0.012270801700651646,4.371276870427753e-05,0.0,0,767.6849720478058
300,2,ok,0.6914162635803223,0.2873836159706116,4.489251613616943,0.8963138461112976,0.011842113919556141,4.1005321011562206e-05,0.0,0,917.7581491470337
350,3,ok,0.6803135871887207,0.2713564336299896,4.543968200683594,0.8943386673927307,0.010046741925179958,3.793344535444142e-05,0.0,0,1060.5855531692505
400,3,ok,0.6992969512939453,0.27681922912597656,4.694196701049805,0.9033659100532532,0.010141954757273197,3.456708580912725e-05,0.0,0,1213.281776189804
450,4,ok,0.6666706204414368,0.2782630920410156,4.315639019012451,0.9022376537322998,0.010352850891649723,3.098289160718895e-05,0.0,0,1360.4190123081207
500,4,ok,0.6430524587631226,0.2625795602798462,4.227476596832275,0.8992579579353333,0.011625791899859905,2.726247189574095e-05,0.0,0,1523.9067404270172
550,5,ok,0.6410045623779297,0.2626464366912842,4.203978538513184,0.9042572975158691,0.010516896843910217,2.3490537564442847e-05,0.0,0,1688.8897461891174
600,5,ok,0.6331692934036255,0.25705283880233765,4.179071426391602,0.9030337929725647,0.010198296047747135,1.9752972448378814e-05,0.0,0,1843.342588186264
650,6,ok,0.637326717376709,0.24304205179214478,4.380940914154053,0.9040746092796326,0.010100708343088627,1.613487782393661e-05,0.0,0,1988.9465191364288
700,6,ok,0.6812832355499268,0.25966987013816833,4.684593200683594,0.9017043709754944,0.008964971639215946,1.271863472290307e-05,0.0,0,2124.1991612911224
750,7,ok,0.6119465827941895,0.23595911264419556,4.177638053894043,0.9051063060760498,0.00991139281541109,9.582028184286423e-06,0.0,0,2259.05375623703
800,7,ok,0.6048586964607239,0.24497921764850616,3.9986605644226074,0.9007952809333801,0.00869645457714796,6.796476153105294e-06,0.0,0,2397.3239181041718
850,8,ok,0.6557605266571045,0.2607298493385315,4.389229774475098,0.903285026550293,0.00868281815201044,4.425403352658591e-06,0.0,0,2524.4686732292175
900,8,ok,0.6364160776138306,0.2531816065311432,4.258160591125488,0.9038234353065491,0.0077849202789366245,2.5227971558643537e-06,0.0,0,2669.293313026428
950,9,ok,0.647011399269104,0.25178176164627075,4.391440391540527,0.9021512866020203,0.007146710064262152,1.1319783372863602e-06,0.0,0,2818.261716365814
1000,9,ok,0.6273149251937866,0.2546168565750122,4.14108943939209,0.9046797752380371,0.007825861684978008,2.846146948116468e-07,0.0,0,2963.2254712581635
1050,9,ok,0.6271151304244995,0.24694453179836273,4.224117279052734,0.9026839137077332,0.007225241977721453,0.0,0.0,0,3100.6279611587524
